[2025-12-13T09:43:05.714068] Iteration init_0 | N=11, K=None | beta: 0.196717, param_0: 0.196717, param_1: 25.533959 | Final energy: 0
[2025-12-13T09:45:19.036173] Iteration 1 | N=11, K=None | beta: 0.205643, param_0: 0.205643, param_1: 27.837315 | Final energy: 0
[2025-12-13T09:48:34.821801] Iteration 5 | N=11, K=None | beta: 0.200577, param_0: 0.200577, param_1: 28.791560 | Final energy: 0
[2025-12-13T09:49:52.925953] Iteration 7 | N=11, K=None | beta: 0.192002, param_0: 0.192002, param_1: 32.256425 | Final energy: 0
[2025-12-13T09:53:07.014797] Iteration 11 | N=11, K=None | beta: 0.198117, param_0: 0.198117, param_1: 33.670801 | Final energy: 0
[2025-12-13T09:53:27.864593] Iteration 12 | N=11, K=None | beta: 0.199089, param_0: 0.199089, param_1: 40.250339 | Final energy: 0
[2025-12-13T09:53:50.695032] Iteration 13 | N=11, K=None | beta: 0.201334, param_0: 0.201334, param_1: 47.291081 | Final energy: 0
[2025-12-13T09:54:18.665044] Iteration 14 | N=11, K=None | beta: 0.202000, param_0: 0.202000, param_1: 44.091637 | Final energy: 0
[2025-12-13T09:54:38.867589] Iteration 15 | N=11, K=None | beta: 0.202032, param_0: 0.202032, param_1: 43.821245 | Final energy: 0
[2025-12-13T09:56:02.559648] Iteration 17 | N=11, K=None | beta: 0.194172, param_0: 0.194172, param_1: 56.191737 | Final energy: 0
[2025-12-13T09:56:25.520021] Iteration 18 | N=11, K=None | beta: 0.194732, param_0: 0.194732, param_1: 63.352053 | Final energy: 0
[2025-12-13T09:56:45.542744] Iteration 19 | N=11, K=None | beta: 0.196496, param_0: 0.196496, param_1: 68.017510 | Final energy: 0
[2025-12-13T10:03:55.849361] Iteration init_0 | N=11, K=None | beta: 0.028924, param_0: 0.028924, param_1: 92.328092 | Final energy: 0
[2025-12-13T10:04:08.292728] Iteration init_1 | N=11, K=None | beta: 0.429761, param_0: 0.429761, param_1: 49.295171 | Final energy: 0
[2025-12-13T10:05:15.696876] Iteration 1 | N=11, K=None | beta: 0.335580, param_0: 0.335580, param_1: 62.546428 | Final energy: 0
[2025-12-13T10:05:28.247353] Iteration 2 | N=11, K=None | beta: 0.500000, param_0: 0.500000, param_1: 84.762522 | Final energy: 0
[2025-12-13T10:05:39.765704] Iteration 3 | N=11, K=None | beta: 0.500000, param_0: 0.500000, param_1: 62.675895 | Final energy: 0
[2025-12-13T10:05:59.983576] Iteration 4 | N=11, K=None | beta: 0.237107, param_0: 0.237107, param_1: 100.000000 | Final energy: 0
[2025-12-13T10:06:36.007286] Iteration 5 | N=11, K=None | beta: 0.001000, param_0: 0.001000, param_1: 56.343700 | Final energy: 0
[2025-12-13T10:06:49.724794] Iteration 6 | N=11, K=None | beta: 0.500000, param_0: 0.500000, param_1: 96.479530 | Final energy: 0
[2025-12-13T10:07:05.638135] Iteration 7 | N=11, K=None | beta: 0.500000, param_0: 0.500000, param_1: 55.506065 | Final energy: 0
[2025-12-13T10:07:18.286345] Iteration 8 | N=11, K=None | beta: 0.500000, param_0: 0.500000, param_1: 55.643996 | Final energy: 0
[2025-12-13T10:07:28.752011] Iteration 9 | N=11, K=None | beta: 0.500000, param_0: 0.500000, param_1: 92.798315 | Final energy: 0
[2025-12-13T10:08:37.508953] Iteration 11 | N=11, K=None | beta: 0.340417, param_0: 0.340417, param_1: 79.401934 | Final energy: 0
