[2025-12-12T21:50:27.374437] Iteration 5 | N=11, K=None | beta: 11.001650, param_0: 182.393983 | Final energy: 0
[2025-12-12T21:50:32.825385] Iteration 6 | N=11, K=None | beta: 10.463519, param_0: 181.091200 | Final energy: 0
[2025-12-12T21:51:14.577051] Iteration 10 | N=11, K=None | beta: 10.579373, param_0: 176.061099 | Final energy: 0
[2025-12-12T21:52:19.226089] Iteration 14 | N=11, K=None | beta: 10.617181, param_0: 182.253252 | Final energy: 0
[2025-12-12T21:52:30.065437] Iteration 16 | N=11, K=None | beta: 10.634424, param_0: 179.888883 | Final energy: 0
[2025-12-12T21:52:32.846313] Iteration 17 | N=11, K=None | beta: 10.650860, param_0: 179.785718 | Final energy: 0
[2025-12-12T21:52:52.957853] Iteration 20 | N=11, K=None | beta: 10.625685, param_0: 179.944917 | Final energy: 0
[2025-12-12T21:55:10.195842] Iteration 32 | N=11, K=None | beta: 10.000000, param_0: 200.000000 | Final energy: 0
[2025-12-12T21:55:28.751380] Iteration 35 | N=11, K=None | beta: 10.000000, param_0: 200.000000 | Final energy: 0
[2025-12-12T21:56:44.552656] Iteration 41 | N=11, K=None | beta: 10.000000, param_0: 200.000000 | Final energy: 0
[2025-12-12T21:56:47.309739] Iteration 42 | N=11, K=None | beta: 10.000000, param_0: 200.000000 | Final energy: 0
[2025-12-12T21:57:03.639667] Iteration 44 | N=11, K=None | beta: 10.000000, param_0: 200.000000 | Final energy: 0
[2025-12-12T21:58:33.392092] Iteration 55 | N=11, K=None | beta: 12.558369, param_0: 200.000000 | Final energy: 0
[2025-12-12T21:59:03.686758] Iteration 59 | N=11, K=None | beta: 10.000000, param_0: 200.000000 | Final energy: 0
[2025-12-12T22:00:35.458318] Iteration 67 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
[2025-12-12T22:01:04.361621] Iteration 71 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
[2025-12-12T22:01:15.381976] Iteration 73 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
[2025-12-12T22:01:37.248140] Iteration 76 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
[2025-12-12T22:01:46.633064] Iteration 77 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
[2025-12-12T22:02:00.361087] Iteration 78 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
[2025-12-12T22:02:50.895520] Iteration 83 | N=11, K=None | beta: 10.000000, param_0: 150.000000 | Final energy: 0
